country,refcode
AD,ALV
AD,CAN
AD,ENC
AD,ESC
AD,EAC
AD,FMO
AD,LMA
AD,ORD
AD,PAS
AD,SJL
AD,SCO
AE,ABU
AE,AUH
AE,AMU
AE,ARP
AE,AJM
AE,AAN
AE,ALB
AE,DHF
AE,FJR
AE,HAM
AE,JAZ
AE,AJP
AE,DBI
AE,ALQ
AE,ALS
AE,RUW
AE,ARZ
AE,DAS
AE,DER
AE,DBP
AE,DXB
AE,DWC
AE,END
AE,FAT
AE,FRP
AE,HAB
AE,HIL
AE,HZP
AE,HSN
AE,HAT
AE,HTL
AE,IND
AE,JEA
AE,QWE
AE,JED
AE,JYH
AE,KLB
AE,KHA
AE,KLF
AE,MAS
AE,MKH
AE,KHL
AE,MRP
AE,MSA
AE,MZD
AE,NHD
AE,RFA
AE,MUB
AE,MBS
AE,FMZ
AE,AMF
AE,OFJ
AE,PRA
AE,RKP
AE,RMC
AE,RKT
AE,RAK
AE,DUY
AE,REI
AE,RWP
AE,SID
AE,SHJ
AE,SIL
AE,SRT
AE,SWE
AE,DUJ
AE,ULR
AE,QIW
AE,VHT
AE,YAS
AE,ZUR
AF,ASH
AF,BAG
AF,BIN
AF,BEP
AF,BST
AF,CBN
AF,CDW
AF,CLN
AF,CSO
AF,CWO
AF,CCN
AF,DAZ
AF,DHD
AF,ISQ
AF,FBD
AF,FAH
AF,FRO
AF,RMD
AF,SHK
AF,GRG
AF,GAR
AF,GZI
AF,HRT
AF,HEA
AF,JAA
AF,KBL
AF,KMU
AF,KDH
AF,KHT
AF,KHO
AF,KWT
AF,KWH
AF,UND
AF,KUR
AF,LAG
AF,MMZ
AF,MWD
AF,MAS
AF,MZR
AF,MEH
AF,MEY
AF,IMZ
AF,ORG
AF,PSD
AF,PEC
AF,QYN
AF,LQN
AF,QLT
AF,QAM
AF,SBF
AF,SRO
AF,SGA
AF,SHE
AF,SDD
AF,SBK
AF,TQN
AF,TKO
AF,TII
AF,TGH
AF,RKH
AF,TOW
AF,URN
AF,URZ
AF,ZAJ
AF,ZHA
AG,ANU
AG,BBQ
AG,FAM
AG,PHM
AG,SJO
AI,AXA
AI,BLP
AI,CRH
AI,MBB
AI,RBY
AI,SOM
AI,FOR
AI,ROA
AI,VAL
AI,WLL
AL,ARG
AL,BRT
AL,BQE
AL,BUT
AL,DRZ
AL,NPP
AL,FIE
AL,FUS
AL,GOK
AL,HMR
AL,KRC
AL,KKU
AL,LZE
AL,LUS
AL,MBR
AL,MIL
AL,ROM
AL,SAR
AL,SHK
AL,SHZ
AL,SHG
AL,TEN
AL,TIA
AL,VOA
AL,VOR
AM,ABO
AM,AHU
AM,A3A
AM,ARG
AM,ARA
AM,ARV
AM,ASH
AM,BRD
AM,BYU
AM,DIL
AM,EZN
AM,GRS
AM,LWN
AM,JER
AM,KJN
AM,KPN
AM,ARM
AM,MMA
AM,MTR
AM,RN4
AM,SPI
AM,VZR
AM,VED
AM,EVN
AO,AZZ
AO,ANL
AO,ARO
AO,BAB
AO,BDD
AO,BDT
AO,BEL
AO,BUG
AO,CAB
AO,CFF
AO,CNZ
AO,KNP
AO,CPO
AO,CBT
AO,CAV
AO,PGI
AO,CLV
AO,CUI
AO,CTI
AO,DAL
AO,DRC
AO,DGR
AO,DUE
AO,ETN
AO,FBY
AO,FLT
AO,GIM
AO,GIR
AO,GPO
AO,NOV
AO,JMB
AO,KTI
AO,SVP
AO,KOT
AO,LAA
AO,LIE
AO,LOB
AO,LBT
AO,LAD
AO,UAL
AO,SDD
AO,LUC
AO,LUO
AO,LBZ
AO,GGC
AO,LZM
AO,SSY
AO,MEG
AO,MLO
AO,MAL
AO,MDZ
AO,MTL
AO,SPP
AO,MOS
AO,NDF
